country,year,sex,cause,age_group,death,
Canada,2000,males,I057,0,0,
Canada,2000,males,I058,0,26.01,
Canada,2000,females,I057,0,0,
Canada,2000,females,I058,0,21.01,
Canada,2000,total,I057,0,0,
Canada,2000,total,I058,0,47.03,
Canada,2001,males,I057,0,0,
Canada,2001,males,I058,0,24.01,
Canada,2001,females,I057,0,0,
Canada,2001,females,I058,0,27.980000000000000,
Canada,2001,total,I057,0,0,
Canada,2001,total,I058,0,51.99,
Canada,2002,males,I057,0,0,
Canada,2002,males,I058,0,35.03,
Canada,2002,females,I057,0,0,
Canada,2002,females,I058,0,25,
Canada,2002,total,I057,0,0,
Canada,2002,total,I058,0,60.03,
Canada,2003,males,I057,0,0,
Canada,2003,males,I058,0,36.02,
Canada,2003,females,I057,0,0,
Canada,2003,females,I058,0,26,
Canada,2003,total,I057,0,0,
Canada,2003,total,I058,0,62.02,
Canada,2004,males,I057,0,0,
Canada,2004,males,I058,0,38.1,
Canada,2004,females,I057,0,0,
Canada,2004,females,I058,0,18,
Canada,2004,total,I057,0,0,
Canada,2004,total,I058,0,56.1,
Canada,2005,males,I057,0,0,
Canada,2005,males,I058,0,27.03,
Canada,2005,females,I057,0,0,
Canada,2005,females,I058,0,19,
Canada,2005,total,I057,0,0,
Canada,2005,total,I058,0,46.03,
Canada,2006,males,I057,0,0,
Canada,2006,males,I058,0,28.99,
Canada,2006,females,I057,0,0,
Canada,2006,females,I058,0,13.01,
Canada,2006,total,I057,0,0,
Canada,2006,total,I058,0,42,
Canada,2007,males,I057,0,0,
Canada,2007,males,I058,0,20.05,
Canada,2007,females,I057,0,0,
Canada,2007,females,I058,0,17,
Canada,2007,total,I057,0,0,
Canada,2007,total,I058,0,37.05,
Canada,2008,males,I057,0,0,
Canada,2008,males,I058,0,31.01,
Canada,2008,females,I057,0,0,
Canada,2008,females,I058,0,19.980000000000000,
Canada,2008,total,I057,0,0,
Canada,2008,total,I058,0,50.98,
Canada,2009,males,I057,0,0,
Canada,2009,males,I058,0,23,
Canada,2009,females,I057,0,0,
Canada,2009,females,I058,0,23.08,
Canada,2009,total,I057,0,0,
Canada,2009,total,I058,0,46.08,
Canada,2010,males,I057,0,0,
Canada,2010,males,I058,0,30,
Canada,2010,females,I057,0,0,
Canada,2010,females,I058,0,18,
Canada,2010,total,I057,0,0,
Canada,2010,total,I058,0,48,
Canada,2011,males,I057,0,0,
Canada,2011,males,I058,0,61.18,
Canada,2011,females,I057,0,0,
Canada,2011,females,I058,0,28.64,
Canada,2011,total,I057,0,0,
Canada,2011,total,I058,0,89.81,
Canada,2012,males,I057,0,0,
Canada,2012,males,I058,0,46,
Canada,2012,females,I057,0,0,
Canada,2012,females,I058,0,32,
Canada,2012,total,I057,0,0,
Canada,2012,total,I058,0,78,
Canada,2013,males,I057,0,0,
