country,year,sex,cause,age_group,death,
Canada,2000,total,I000,0,1737,
Canada,2000,total,I001,0,2.06,
Canada,2000,total,I002,0,0,
Canada,2000,total,I003,0,9.25,
Canada,2000,total,I004,0,0,
Canada,2000,total,I005,0,0,
Canada,2000,total,I006,0,11.31,
Canada,2000,total,I007,0,0,
Canada,2000,total,I008,0,0,
Canada,2000,total,I009,0,0,
Canada,2000,total,I010,0,0,
Canada,2000,total,I011,0,0,
Canada,2000,total,I012,0,0,
Canada,2000,total,I013,0,0,
Canada,2000,total,I014,0,0,
Canada,2000,total,I015,0,0,
Canada,2000,total,I016,0,0,
Canada,2000,total,I017,0,0,
Canada,2000,total,I018,0,0,
Canada,2000,total,I019,0,0,
Canada,2000,total,I020,0,0,
Canada,2000,total,I021,0,0,
Canada,2000,total,I022,0,4.110000000000000,
Canada,2000,total,I023,0,15.42,
Canada,2000,total,I024,0,3.08,
Canada,2000,total,I025,0,0,
Canada,2000,total,I026,0,23.64,
Canada,2000,total,I027,0,0,
Canada,2000,total,I028,0,0,
Canada,2000,total,I029,0,0,
Canada,2000,total,I030,0,51.39,
Canada,2000,total,I031,0,0,
Canada,2000,total,I032,0,0,
Canada,2000,total,I033,0,1.03,
Canada,2000,total,I034,0,17.47,
Canada,2000,total,I035,0,4.110000000000000,
Canada,2000,total,I036,0,2.06,
Canada,2000,total,I037,0,0,
Canada,2000,total,I038,0,0,
Canada,2000,total,I039,0,13.360000000000000,
Canada,2000,total,I040,0,3.08,
Canada,2000,total,I041,0,1.03,
Canada,2000,total,I042,0,11.31,
Canada,2000,total,I043,0,0,
Canada,2000,total,I044,0,4.110000000000000,
Canada,2000,total,I045,0,13.360000000000000,
Canada,2000,total,I046,0,0,
Canada,2000,total,I047,0,2.06,
Canada,2000,total,I048,0,5.14,
Canada,2000,total,I049,0,0,
Canada,2000,total,I050,0,1040.1400000000000,
Canada,2000,total,I051,0,437.85,
Canada,2000,total,I052,0,5.14,
Canada,2000,total,I053,0,34.950000000000000,
Canada,2000,total,I054,0,0,
Canada,2000,total,I055,0,15.42,
Canada,2000,total,I056,0,5.14,
Canada,2000,total,I057,0,0,
Canada,2000,total,I058,0,47.03,
Canada,2001,total,I000,0,1739,
Canada,2001,total,I001,0,0,
Canada,2001,total,I002,0,0,
Canada,2001,total,I003,0,12.33,
Canada,2001,total,I004,0,1.04,
Canada,2001,total,I005,0,0,
Canada,2001,total,I006,0,14.39,
Canada,2001,total,I007,0,0,
Canada,2001,total,I008,0,0,
Canada,2001,total,I009,0,0,
Canada,2001,total,I010,0,0,
Canada,2001,total,I011,0,0,
Canada,2001,total,I012,0,0,
Canada,2001,total,I013,0,0,
Canada,2001,total,I014,0,0,
Canada,2001,total,I015,0,0,
Canada,2001,total,I016,0,0,
Canada,2001,total,I017,0,0,
Canada,2001,total,I018,0,0,
Canada,2001,total,I019,0,0,
Canada,2001,total,I020,0,0,
Canada,2001,total,I021,0,0,
Canada,2001,total,I022,0,3.1,
Canada,2001,total,I023,0,10.31,
Canada,2001,total,I024,0,1.03,
Canada,2001,total,I025,0,0,
Canada,2001,total,I026,0,21.64,
Canada,2001,total,I027,0,1.03,
Canada,2001,total,I028,0,0,
Canada,2001,total,I029,0,0,
Canada,2001,total,I030,0,42.27,
Canada,2001,total,I031,0,0,
Canada,2001,total,I032,0,0,
Canada,2001,total,I033,0,0,
Canada,2001,total,I034,0,21.68,
Canada,2001,total,I035,0,4.14,
Canada,2001,total,I036,0,2.08,
Canada,2001,total,I037,0,3.1,
Canada,2001,total,I038,0,0,
Canada,2001,total,I039,0,13.38,
Canada,2001,total,I040,0,4.13,
Canada,2001,total,I041,0,1.04,
Canada,2001,total,I042,0,7.2,
Canada,2001,total,I043,0,0,
Canada,2001,total,I044,0,3.08,
Canada,2001,total,I045,0,12.4,
Canada,2001,total,I046,0,1.03,
Canada,2001,total,I047,0,0,
Canada,2001,total,I048,0,4.13,
Canada,2001,total,I049,0,0,
Canada,2001,total,I050,0,1068.92,
Canada,2001,total,I051,0,449.52,
Canada,2001,total,I052,0,5.17,
Canada,2001,total,I053,0,22.66,
Canada,2001,total,I054,0,0,
Canada,2001,total,I055,0,5.1500000000000000,
Canada,2001,total,I056,0,3.09,
Canada,2001,total,I057,0,0,
Canada,2001,total,I058,0,51.99,
Canada,2002,total,I000,0,1762,
Canada,2002,total,I001,0,5.18,
Canada,2002,total,I002,0,0,
Canada,2002,total,I003,0,12.43,
Canada,2002,total,I004,0,0,
Canada,2002,total,I005,0,1.03,
Canada,2002,total,I006,0,9.32,
Canada,2002,total,I007,0,0,
Canada,2002,total,I008,0,0,
Canada,2002,total,I009,0,0,
Canada,2002,total,I010,0,0,
Canada,2002,total,I011,0,0,
Canada,2002,total,I012,0,0,
Canada,2002,total,I013,0,0,
Canada,2002,total,I014,0,0,
Canada,2002,total,I015,0,0,
Canada,2002,total,I016,0,0,
Canada,2002,total,I017,0,0,
Canada,2002,total,I018,0,0,
Canada,2002,total,I019,0,0,
Canada,2002,total,I020,0,0,
Canada,2002,total,I021,0,0,
Canada,2002,total,I022,0,3.11,
Canada,2002,total,I023,0,10.350000000000000,
Canada,2002,total,I024,0,6.21,
Canada,2002,total,I025,0,0,
Canada,2002,total,I026,0,28.980000000000000,
Canada,2002,total,I027,0,0,
Canada,2002,total,I028,0,0,
Canada,2002,total,I029,0,0,
Canada,2002,total,I030,0,39.350000000000000,
Canada,2002,total,I031,0,0,
Canada,2002,total,I032,0,0,
Canada,2002,total,I033,0,0,
Canada,2002,total,I034,0,18.630000000000000,
Canada,2002,total,I035,0,9.32,
Canada,2002,total,I036,0,1.04,
Canada,2002,total,I037,0,3.11,
Canada,2002,total,I038,0,0,
Canada,2002,total,I039,0,11.38,
Canada,2002,total,I040,0,7.25,
Canada,2002,total,I041,0,1.04,
Canada,2002,total,I042,0,7.25,
Canada,2002,total,I043,0,0,
Canada,2002,total,I044,0,4.14,
Canada,2002,total,I045,0,14.5,
Canada,2002,total,I046,0,0,
Canada,2002,total,I047,0,1.03,
Canada,2002,total,I048,0,5.17,
Canada,2002,total,I049,0,0,
Canada,2002,total,I050,0,1065.34,
Canada,2002,total,I051,0,441.97000000000000,
Canada,2002,total,I052,0,5.17,
Canada,2002,total,I053,0,35.2,
Canada,2002,total,I054,0,0,
Canada,2002,total,I055,0,9.31,
Canada,2002,total,I056,0,5.18,
Canada,2002,total,I057,0,0,
Canada,2002,total,I058,0,60.03,
Canada,2003,total,I000,0,1765,
Canada,2003,total,I001,0,1.04,
Canada,2003,total,I002,0,0,
Canada,2003,total,I003,0,9.32,
Canada,2003,total,I004,0,0,
Canada,2003,total,I005,0,0,
Canada,2003,total,I006,0,16.58,
Canada,2003,total,I007,0,0,
Canada,2003,total,I008,0,0,
Canada,2003,total,I009,0,0,
Canada,2003,total,I010,0,0,
Canada,2003,total,I011,0,0,
Canada,2003,total,I012,0,2.07,
Canada,2003,total,I013,0,0,
Canada,2003,total,I014,0,0,
Canada,2003,total,I015,0,0,
Canada,2003,total,I016,0,0,
Canada,2003,total,I017,0,0,
Canada,2003,total,I018,0,0,
Canada,2003,total,I019,0,0,
Canada,2003,total,I020,0,0,
Canada,2003,total,I021,0,1.04,
Canada,2003,total,I022,0,3.11,
Canada,2003,total,I023,0,3.11,
Canada,2003,total,I024,0,9.33,
Canada,2003,total,I025,0,0,
Canada,2003,total,I026,0,16.59,
Canada,2003,total,I027,0,0,
Canada,2003,total,I028,0,0,
Canada,2003,total,I029,0,0,
Canada,2003,total,I030,0,38.350000000000000,
Canada,2003,total,I031,0,1.04,
Canada,2003,total,I032,0,1.03,
Canada,2003,total,I033,0,1.03,
Canada,2003,total,I034,0,17.630000000000000,
Canada,2003,total,I035,0,3.11,
Canada,2003,total,I036,0,7.26,
Canada,2003,total,I037,0,0,
Canada,2003,total,I038,0,0,
Canada,2003,total,I039,0,12.43,
Canada,2003,total,I040,0,1.03,
Canada,2003,total,I041,0,1.03,
Canada,2003,total,I042,0,6.23,
Canada,2003,total,I043,0,0,
Canada,2003,total,I044,0,4.1500000000000000,
Canada,2003,total,I045,0,12.44,
Canada,2003,total,I046,0,0,
Canada,2003,total,I047,0,0,
Canada,2003,total,I048,0,6.22,
Canada,2003,total,I049,0,0,
Canada,2003,total,I050,0,1116.24,
Canada,2003,total,I051,0,438.36,
Canada,2003,total,I052,0,4.14,
Canada,2003,total,I053,0,21.760000000000000,
Canada,2003,total,I054,0,0,
Canada,2003,total,I055,0,8.29,
Canada,2003,total,I056,0,1.04,
Canada,2003,total,I057,0,0,
Canada,2003,total,I058,0,62.02,
Canada,2004,total,I000,0,1775,
Canada,2004,total,I001,0,1.04,
Canada,2004,total,I002,0,0,
Canada,2004,total,I003,0,8.240000000000000,
Canada,2004,total,I004,0,0,
Canada,2004,total,I005,0,0,
Canada,2004,total,I006,0,8.26,
Canada,2004,total,I007,0,0,
Canada,2004,total,I008,0,0,
Canada,2004,total,I009,0,0,
Canada,2004,total,I010,0,0,
Canada,2004,total,I011,0,0,
Canada,2004,total,I012,0,0,
Canada,2004,total,I013,0,0,
Canada,2004,total,I014,0,0,
Canada,2004,total,I015,0,0,
Canada,2004,total,I016,0,0,
Canada,2004,total,I017,0,0,
Canada,2004,total,I018,0,0,
Canada,2004,total,I019,0,0,
Canada,2004,total,I020,0,0,
Canada,2004,total,I021,0,0,
Canada,2004,total,I022,0,4.13,
Canada,2004,total,I023,0,9.3,
Canada,2004,total,I024,0,5.1500000000000000,
Canada,2004,total,I025,0,0,
Canada,2004,total,I026,0,25.87,
Canada,2004,total,I027,0,0,
Canada,2004,total,I028,0,0,
Canada,2004,total,I029,0,0,
Canada,2004,total,I030,0,39.21,
Canada,2004,total,I031,0,0,
Canada,2004,total,I032,0,0,
